Action	uco-action:Action
ActionReferences	uco-action:ActionReferences
Annotation	uco-core:Annotation
ComputerSpecification	uco-observable:ComputerSpecification
ContentData	uco-observable:ContentData
DataRange	uco-observable:DataRange
Device	uco-observable:Device
DiskPartition	uco-observable:DiskPartition
EXIF	uco-observable:EXIF
Encoding	uco-observable:EncodedStream
Encryption	uco-observable:EncryptedStream
Fragment	uco-observable:Fragment
Hash	uco-types:Hash
InvestigativeAction	uco-investigation:InvestigativeAction
LatLongCoordinates	uco-location:LatLongCoordinates
Location	uco-location:Location
OperatingSystem	uco-observable:OperatingSystem
PathRelation	uco-observable:PathRelation
PropertyBundle	case-core:PropertyBundle
RasterPicture	uco-observable:RasterPicture
SQLiteBlob	uco-observable:SQLiteBlob
SimpleAddress	uco-location:SimpleAddress
Trace	case-core:Trace
