accessAction
accessedAction
accessedTime	uco-observable:accessedTime	xsd:dateTime
accountIdentifier	uco-observable:accountIdentifier
accountIssuer	uco-observable:accountIssuer
accountLogin	uco-observable:accountLogin
application	uco-observable:application
authorizationType	uco-investigation:authorizationType
authorizationIdentifier	uco-investigation:authorizationIdentifier
authorizationAuthority
authorizationIssuedDate
biosVersion	uco-observable:biosVersion
birthdate	uco-identity:birthdate	xsd:dateTime
bitsPerPixel	uco-observable:bitsPerPixel
byteOrder	uco-observable:byteOrder
callType	uco-observable:callType
columnName	uco-observable:columnName
content	uco-core:object
country	uco-location:country
createAction
createdAction
cpuFamily	uco-observable:cpuFamily
createdTime	uco-observable:createdTime	xsd:dateTime
dataPayload	uco-observable:dataPayload
description	uco-core:description
displayName	uco-observable:displayName
duration	uco-observable:duration	xsd:long
emailAddress	uco-observable:value
encodingMethod	uco-observable:encodingMethod
encryptionMethod	uco-observable:encryptionMethod
encryptionMode	uco-observable:encryptionMode
endTime	uco-observable:endTime	xsd:dateTime
environment	uco-action:environment
exifData	uco-observable:exifData
familyName	uco-identity:familyName
fileName	uco-observable:fileName
filePath	uco-observable:filePath
fileSystemType	uco-observable:fileSystemType
firstLoginTime	uco-observable:firstLoginTime	xsd:dateTime
focus	uco-investigation:focus
fragmentIndex	uco-observable:fragmentIndex
from	uco-observable:from
givenName	uco-identity:givenName
gpuFamily	uco-observable:gpuFamily
hash	uco-observable:hash
hashMethod	uco-types:hashMethod	uco-core:HashNameEnum
hashValue	uco-types:hashValue	xsd:hexBinary
instrument	uco-action:instrument
isActive	uco-observable:isActive
isDirectory	uco-observable:isDirectory
iv	uco-observable:encryptionIV
isDirectional	uco-core:isDirectional
kindOfRelationship	uco-core:kindOfRelationship
lastLoginTime	uco-observable:lastLoginTime	xsd:dateTime
latitude	uco-location:latitude	xsd:decimal
locality	uco-location:locality
longitude	uco-location:longitude	xsd:decimal
magicNumber	uco-observable:magicNumber
manufacturer	uco-observable:manufacturer
metadataChangedTime	uco-observable:metadataChangedTime	xsd:dateTime
mimeType	uco-observable:mimeType
model	uco-observable:model
modifiedTime	uco-observable:modifiedTime	xsd:dateTime
name	uco-core:name
partIndex	uco-observable:partitionID
password	uco-observable:password
passwordLastChanged	uco-observable:passwordLastChanged	xsd:dateTime
path	uco-observable:path
performer	uco-action:performer
phoneNumber	uco-observable:phoneNumber
pictureType	uco-observable:picturetype
pictureheight	uco-observable:pictureHeight
picturewidth	uco-observable:pictureWidth
postalCode	uco-location:postalCode
processorArchitecture	uco-observable:processorArchitecture
propertyBundle	case-core:propertyBundle
rangeOffset	uco-observable:rangeOffset
rangeSize	uco-observable:rangeSize	xsd:long
region	uco-location:region
result	uco-action:result
rowCondition	uco-observable:rowCondition
serialNumber	uco-observable:serialNumber
sizeInBytes	uco-observable:sizeInBytes
source	uco-core:source
startTime	uco-observable:startTime	xsd:dateTime
street	uco-location:street
tableName	uco-observable:tableName
tag	uco-core:tag
target	uco-core:target
totalRam	uco-observable:totalRam	xsd:long
to	uco-observable:to
